#{"t_start": 1752147323.3922827, "env_id": "None"}
r,l,t
-136.47818,34,80.671619
-8.031052,50,80.927615
942.66437,100,80.998177
1295.1824,100,81.784
988.45465,100,82.008566
-299.28778,50,82.190141
1291.602,100,82.533922
343.84146,100,82.800427
-537.27515,62,83.200165
102.67125,33,83.235435
-4.244948,100,83.471539
-298.09433,91,84.255689
47.145298,100,84.394418
62.90927,53,84.428104
-276.63702,44,84.738748
32.700108,36,84.854226
-987.5863,100,85.026602
-306.05066,38,85.240192
57.640823,33,85.691417
754.7794,100,85.837344
-489.6209,71,86.209324
-181.6368,34,86.483498
-267.814,41,86.563584
418.65332,100,86.599934
-105.123764,33,87.479154
-873.8835,89,87.730733
-439.33826,85,88.00414
24.170397,100,88.335938
-779.76373,75,88.619113
1140.1187,100,88.734777
-729.40753,75,88.77256
42.72666,33,88.807542
-227.99521,61,88.875594
-417.965,59,88.908864
-509.28986,72,89.360271
-230.3291,36,89.652674
-286.49503,36,89.992035
-160.88287,33,90.025905
-77.43829,33,90.060893
-371.63348,47,90.275921
-197.2684,35,90.647946
-439.67822,61,91.095554
-165.24022,33,91.341886
-64.77061,34,91.342218
-307.18433,49,91.51922
965.76794,100,91.519546
-224.1864,36,91.68789
1068.3687,100,91.754698
-925.31445,85,91.90075
-215.34639,54,92.136434
55.343895,36,92.77068
-50.35229,61,93.054398
-257.89185,42,93.253127
-63.541683,33,93.350886
-373.966,57,93.385386
-131.93076,38,93.385706
-437.03824,58,93.669343
-267.68503,37,93.706869
-445.54535,57,93.826096
-40.07128,61,94.145488
-228.00894,36,94.179202
-87.68605,33,94.313015
-68.40384,33,94.555575
-289.17383,43,94.894809
-87.48395,33,94.962445
-251.63644,46,94.9627
-235.87642,38,95.514326
-342.0626,49,95.943435
-358.4361,50,96.136477
-110.63696,34,96.174869
-528.03625,73,96.329015
143.38316,100,96.975889
-271.17682,59,97.229976
144.4783,33,97.230309
-189.63145,100,97.438423
120.80191,33,97.471129
-813.9909,85,97.763523
-293.2379,45,98.174201
-260.438,85,98.380127
60.638557,33,98.862411
-120.06703,34,98.862782
-28.69024,33,99.15766
-642.163,75,99.158024
358.55826,100,99.457303
-126.48555,34,99.498003
-487.5462,58,99.577732
-637.47015,75,99.951159
-32.46235,41,100.423763
-106.713715,37,100.575087
-519.88617,66,100.886002
64.46602,36,100.961132
-311.96716,40,100.999764
1559.5594,100,101.194187
-147.39209,35,101.314898
-112.30627,33,101.696929
-486.2869,62,101.886423
-31.649246,33,102.2306
-237.35703,38,102.463381
-193.25632,35,102.536938
-951.1487,100,102.672714
-28.05944,37,102.704811
-1071.422,100,102.963632
-130.12817,33,103.11174
-165.22562,35,103.52173
8.144257,33,103.746773
-284.6711,36,103.783403
-54.74834,33,103.895327
885.9649,100,104.365273
-507.3338,76,104.557576
-318.30872,100,104.666432
-204.5275,34,104.877153
-384.29572,49,104.87748
-28.659996,33,105.065228
-313.00287,41,105.620103
-201.95285,47,105.731051
-815.5213,80,105.868378
-184.52794,34,106.233943
85.60109,51,106.432726
-413.74112,53,106.700559
-113.42365,33,106.856653
-299.1284,49,107.006019
-110.0032,100,107.045496
-270.38342,41,107.399935
-475.08545,65,107.400271
1314.5538,100,108.573524
-4.078411,36,108.765916
-419.845,52,109.00026
-380.12463,68,109.000628
-532.9269,75,109.083292
954.29913,100,109.491063
-786.87573,81,109.723698
-531.2129,82,109.887937
-549.2163,86,110.187331
-276.1026,48,110.340305
-405.30246,46,110.439594
-165.3373,39,110.473616
-307.5053,45,110.614272
101.8269,33,110.646922
-154.7019,35,110.937658
-96.642235,33,111.041711
106.39824,100,111.042038
-7.374899,62,111.172247
-124.6583,34,111.334859
74.87545,35,111.494912
-212.73056,38,111.731266
-308.79135,38,111.971013
-167.38747,54,112.33194
-67.33682,60,112.848134
64.047134,33,112.848244
